,Aggravated assault,Burglary,Counties/principal cities,Forcible rape,Larceny- theft,Larceny-theft,Larcenyâ€‘ theft,Motor vehicle theft,Murder and nonnegligent manslaughter,Population,Property crime,Rape 1,Robbery,Violent crime,counties,msa_label,msa_pop,year
2568,38.3,188.1,"Rate per 100,000 inhabitants",,1275.4,,,88,0.3,,1551.5,25.2,7.9,71.7,Includes Juab and Utah Counties,"Provo-Orem, UT M.S.A.",584130,2015
2569,618,2060,City of Pueblo,,4318,,,896,12,108810,7274,170,186,986,Includes Pueblo County,"Pueblo, CO M.S.A.",163063,2015
2570,633,2270,Total area actually reporting,,5177,,,1017,13,100,8464,171,187,1004,Includes Pueblo County,"Pueblo, CO M.S.A.",163063,2015
2571,388.2,1392.1,"Rate per 100,000 inhabitants",,3174.8,,,623.7,8,,5190.6,104.9,114.7,615.7,Includes Pueblo County,"Pueblo, CO M.S.A.",163063,2015
2572,15,16,City of Punta Gorda,,200,,,14,1,17841,230,1,5,22,Includes Charlotte County,"Punta Gorda, FL M.S.A.",171584,2015
2573,285,416,Total area actually reporting,,2064,,,110,1,100,2590,31,30,347,Includes Charlotte County,"Punta Gorda, FL M.S.A.",171584,2015
2574,166.1,242.4,"Rate per 100,000 inhabitants",,1202.9,,,64.1,0.6,,1509.5,18.1,17.5,202.2,Includes Charlotte County,"Punta Gorda, FL M.S.A.",171584,2015
2575,190,774,City of Racine,,1528,,,96,4,77887,2398,16,154,364,Includes Racine County,"Racine, WI M.S.A.",194966,2015
2576,236,999,Total area actually reporting,,2859,,,135,4,100,3993,36,176,452,Includes Racine County,"Racine, WI M.S.A.",194966,2015
2577,121,512.4,"Rate per 100,000 inhabitants",,1466.4,,,69.2,2.1,,2048,18.5,90.3,231.8,Includes Racine County,"Racine, WI M.S.A.",194966,2015
2578,328,451,City of Rapid City,,2191,,,227,7,73801,2869,92,68,495,"Includes Custer, Meade, and Pennington Counties","Rapid City, SD M.S.A.",145125,2015
2579,456,647,Total area actually reporting,,2828,,,290,9,100,3765,152,73,690,"Includes Custer, Meade, and Pennington Counties","Rapid City, SD M.S.A.",145125,2015
2580,314.2,445.8,"Rate per 100,000 inhabitants",,1948.7,,,199.8,6.2,,2594.3,104.7,50.3,475.5,"Includes Custer, Meade, and Pennington Counties","Rapid City, SD M.S.A.",145125,2015
2581,359,728,City of Reading,,1572,,,251,13,87744,2551,37,291,700,Includes Berks County,"Reading, PA M.S.A.",413999,2015
2582,816,1445,Total area actually reporting,,5087,,,415,15,99.8,6947,94,354,1279,Includes Berks County,"Reading, PA M.S.A.",413999,2015
2583,817,1447,Estimated total,,5100,,,415,15,100,6962,94,354,1280,Includes Berks County,"Reading, PA M.S.A.",413999,2015
2584,197.3,349.5,"Rate per 100,000 inhabitants",,1231.9,,,100.2,3.6,,1681.6,22.7,85.5,309.2,Includes Berks County,"Reading, PA M.S.A.",413999,2015
2585,417,769,City of Redding,,2888,,,512,2,92020,4169,50,145,614,Includes Shasta County,"Redding, CA M.S.A.",180279,2015
2586,1091,1252,Total area actually reporting,,3780,,,819,5,100,5851,123,181,1400,Includes Shasta County,"Redding, CA M.S.A.",180279,2015
2587,605.2,694.5,"Rate per 100,000 inhabitants",,2096.8,,,454.3,2.8,,3245.5,68.2,100.4,776.6,Includes Shasta County,"Redding, CA M.S.A.",180279,2015
2588,923,1440,City of Reno,,5070,,,1021,15,239721,7531,136,345,1419,Includes Storey and Washoe Counties,"Reno, NV M.S.A.",451184,2015
2589,1316,2404,Total area actually reporting,,7891,,,1401,20,100,11696,226,458,2020,Includes Storey and Washoe Counties,"Reno, NV M.S.A.",451184,2015
2590,291.7,532.8,"Rate per 100,000 inhabitants",,1749,,,310.5,4.4,,2592.3,50.1,101.5,447.7,Includes Storey and Washoe Counties,"Reno, NV M.S.A.",451184,2015
2591,547,1605,City of Richmond,,6171,,,872,43,220802,8648,60,489,1139,"Includes Amelia, Caroline, Charles City, Chesterfield, Dinwiddie, Goochland, Hanover, Henrico, King William, New Kent, Powhatan, Prince George, and Sussex Counties and Colonial Heights, Hopewell, Petersburg, and Richmond Cities","Richmond, VA M.S.A.",1269543,2015
2592,1603,4916,Total area actually reporting,,23146,,,1794,95,100,29856,320,985,3003,"Includes Amelia, Caroline, Charles City, Chesterfield, Dinwiddie, Goochland, Hanover, Henrico, King William, New Kent, Powhatan, Prince George, and Sussex Counties and Colonial Heights, Hopewell, Petersburg, and Richmond Cities","Richmond, VA M.S.A.",1269543,2015
2593,126.3,387.2,"Rate per 100,000 inhabitants",,1823.2,,,141.3,7.5,,2351.7,25.2,77.6,236.5,"Includes Amelia, Caroline, Charles City, Chesterfield, Dinwiddie, Goochland, Hanover, Henrico, King William, New Kent, Powhatan, Prince George, and Sussex Counties and Colonial Heights, Hopewell, Petersburg, and Richmond Cities","Richmond, VA M.S.A.",1269543,2015
2594,774,1633,City of Riverside,,7144,,,1754,10,323064,10531,137,520,1441,Includes Riverside and San Bernardino Counties,"Riverside-San Bernardino-Ontario, CA M.S.A.",4488836,2015
2595,1587,3164,City of San Bernardino,,4210,,,3016,44,216477,10390,98,968,2697,Includes Riverside and San Bernardino Counties,"Riverside-San Bernardino-Ontario, CA M.S.A.",4488836,2015
2596,296,897,City of Ontario,,3206,,,1066,3,170274,5169,31,217,547,Includes Riverside and San Bernardino Counties,"Riverside-San Bernardino-Ontario, CA M.S.A.",4488836,2015
2597,79,615,City of Corona,,2646,,,466,5,163633,3727,30,98,212,Includes Riverside and San Bernardino Counties,"Riverside-San Bernardino-Ontario, CA M.S.A.",4488836,2015
2598,493,1095,City of Victorville,,2285,,,628,6,123332,4008,49,229,777,Includes Riverside and San Bernardino Counties,"Riverside-San Bernardino-Ontario, CA M.S.A.",4488836,2015
2599,58,459,City of Temecula,,2116,,,342,1,111673,2917,8,47,114,Includes Riverside and San Bernardino Counties,"Riverside-San Bernardino-Ontario, CA M.S.A.",4488836,2015
2600,147,375,City of Chino,,1501,,,262,0,86344,2138,21,53,221,Includes Riverside and San Bernardino Counties,"Riverside-San Bernardino-Ontario, CA M.S.A.",4488836,2015
2601,102,514,City of Redlands,,2264,,,433,2,71078,3211,34,74,212,Includes Riverside and San Bernardino Counties,"Riverside-San Bernardino-Ontario, CA M.S.A.",4488836,2015
2602,10598,28023,Total area actually reporting,,74268,,,22917,196,100,125208,1097,5076,16967,Includes Riverside and San Bernardino Counties,"Riverside-San Bernardino-Ontario, CA M.S.A.",4488836,2015
2603,236.1,624.3,"Rate per 100,000 inhabitants",,1654.5,,,510.5,4.4,,2789.3,24.4,113.1,378,Includes Riverside and San Bernardino Counties,"Riverside-San Bernardino-Ontario, CA M.S.A.",4488836,2015
2604,222,464,City of Roanoke,,3163,,,189,11,99827,3816,37,67,337,"Includes Botetourt, Craig, Franklin, and Roanoke Counties and Roanoke and Salem Cities","Roanoke, VA M.S.A.",313720,2015
2605,458,841,Total area actually reporting,,5522,,,315,20,100,6678,104,89,671,"Includes Botetourt, Craig, Franklin, and Roanoke Counties and Roanoke and Salem Cities","Roanoke, VA M.S.A.",313720,2015
2606,146,268.1,"Rate per 100,000 inhabitants",,1760.2,,,100.4,6.4,,2128.6,33.2,28.4,213.9,"Includes Botetourt, Craig, Franklin, and Roanoke Counties and Roanoke and Salem Cities","Roanoke, VA M.S.A.",313720,2015
2607,100,468,City of Rochester,,1987,,,91,1,112542,2546,47,50,198,"Includes Dodge, Fillmore, Olmsted, and Wabasha Counties","Rochester, MN M.S.A.",214015,2015
2608,155,659,Total area actually reporting,,2444,,,138,1,100,3241,62,55,273,"Includes Dodge, Fillmore, Olmsted, and Wabasha Counties","Rochester, MN M.S.A.",214015,2015
2609,72.4,307.9,"Rate per 100,000 inhabitants",,1142,,,64.5,0.5,,1514.4,29,25.7,127.6,"Includes Dodge, Fillmore, Olmsted, and Wabasha Counties","Rochester, MN M.S.A.",214015,2015
2610,1018,1753,City of Rochester,,5779,,,734,33,209922,8266,148,640,1839,"Includes Livingston, Monroe, Ontario, Orleans, Wayne, and Yates Counties","Rochester, NY M.S.A.",1082109,2015
2611,1624,4194,Total area actually reporting,,17362,,,1187,41,99.6,22743,479,886,3030,"Includes Livingston, Monroe, Ontario, Orleans, Wayne, and Yates Counties","Rochester, NY M.S.A.",1082109,2015
2612,1628,4202,Estimated total,,17415,,,1189,41,100,22806,480,888,3037,"Includes Livingston, Monroe, Ontario, Orleans, Wayne, and Yates Counties","Rochester, NY M.S.A.",1082109,2015
2613,150.4,388.3,"Rate per 100,000 inhabitants",,1609.4,,,109.9,3.8,,2107.6,44.4,82.1,280.7,"Includes Livingston, Monroe, Ontario, Orleans, Wayne, and Yates Counties","Rochester, NY M.S.A.",1082109,2015
2614,1678,1440,City of Rockford,,3928,,,488,19,148176,5856,148,504,2349,Includes Boone and Winnebago Counties,"Rockford, IL M.S.A.",339889,2015
2615,1911,1962,Total area actually reporting,,5697,,,618,22,84.4,8277,198,563,2694,Includes Boone and Winnebago Counties,"Rockford, IL M.S.A.",339889,2015
2616,1965,2126,Estimated total,,6234,,,650,23,100,9010,214,581,2783,Includes Boone and Winnebago Counties,"Rockford, IL M.S.A.",339889,2015
2617,578.1,625.5,"Rate per 100,000 inhabitants",,1834.1,,,191.2,6.8,,2650.9,63,170.9,818.8,Includes Boone and Winnebago Counties,"Rockford, IL M.S.A.",339889,2015
2618,310,640,City of Rocky Mount,,1610,,,76,12,55978,2326,14,106,442,Includes Edgecombe and Nash Counties,"Rocky Mount, NC M.S.A.",148469,2015
2619,423,1215,Total area actually reporting,,2384,,,138,20,93.5,3737,27,134,604,Includes Edgecombe and Nash Counties,"Rocky Mount, NC M.S.A.",148469,2015
2620,439,1273,Estimated total,,2599,,,148,20,100,4020,29,140,628,Includes Edgecombe and Nash Counties,"Rocky Mount, NC M.S.A.",148469,2015
2621,295.7,857.4,"Rate per 100,000 inhabitants",,1750.5,,,99.7,13.5,,2707.6,19.5,94.3,423,Includes Edgecombe and Nash Counties,"Rocky Mount, NC M.S.A.",148469,2015
2622,139,267,City of Rome,,1410,,,98,4,35921,1775,18,49,210,Includes Floyd County,"Rome, GA M.S.A.",96139,2015
2623,215,624,Total area actually reporting,,2303,,,201,11,100,3128,37,74,337,Includes Floyd County,"Rome, GA M.S.A.",96139,2015
2624,223.6,649.1,"Rate per 100,000 inhabitants",,2395.5,,,209.1,11.4,,3253.6,38.5,77,350.5,Includes Floyd County,"Rome, GA M.S.A.",96139,2015
2625,2289,3713,City of Sacramento,,9865,,,2923,43,489717,16501,105,1174,3611,"Includes El Dorado, Placer, Sacramento, and Yolo Counties","Sacramentoâ€“Rosevilleâ€“Arden-Arcade, CA M.S.A.",2265532,2015
2626,132,521,City of Roseville,,2469,,,305,0,131039,3295,23,84,239,"Includes El Dorado, Placer, Sacramento, and Yolo Counties","Sacramentoâ€“Rosevilleâ€“Arden-Arcade, CA M.S.A.",2265532,2015
2627,40,210,City of Folsom,,899,,,76,1,76183,1185,15,15,71,"Includes El Dorado, Placer, Sacramento, and Yolo Counties","Sacramentoâ€“Rosevilleâ€“Arden-Arcade, CA M.S.A.",2265532,2015
2628,6426,12230,Total area actually reporting,,37695,,,8521,111,100,58446,584,2960,10081,"Includes El Dorado, Placer, Sacramento, and Yolo Counties","Sacramentoâ€“Rosevilleâ€“Arden-Arcade, CA M.S.A.",2265532,2015
2629,283.6,539.8,"Rate per 100,000 inhabitants",,1663.8,,,376.1,4.9,,2579.8,25.8,130.7,445,"Includes El Dorado, Placer, Sacramento, and Yolo Counties","Sacramentoâ€“Rosevilleâ€“Arden-Arcade, CA M.S.A.",2265532,2015
2630,540,460,City of Saginaw,,553,,,77,7,49459,1090,58,87,692,Includes Saginaw County,"Saginaw, MI M.S.A.",193878,2015
2631,864,1057,Total area actually reporting,,2569,,,200,8,100,3826,162,138,1172,Includes Saginaw County,"Saginaw, MI M.S.A.",193878,2015
2632,445.6,545.2,"Rate per 100,000 inhabitants",,1325.1,,,103.2,4.1,,1973.4,83.6,71.2,604.5,Includes Saginaw County,"Saginaw, MI M.S.A.",193878,2015
2633,361,734,City of Salem,,5222,,,711,5,163320,6667,44,127,537,Includes Marion and Polk Counties,"Salem, OR M.S.A.",409703,2015
2634,709,1641,Total area actually reporting,,9175,,,1268,7,100,12084,93,176,985,Includes Marion and Polk Counties,"Salem, OR M.S.A.",409703,2015
2635,173.1,400.5,"Rate per 100,000 inhabitants",,2239.4,,,309.5,1.7,,2949.5,22.7,43,240.4,Includes Marion and Polk Counties,"Salem, OR M.S.A.",409703,2015
2636,613,679,City of Salinas,,1534,,,1932,40,158185,4145,76,369,1098,Includes Monterey County,"Salinas, CA M.S.A.",434790,2015
2637,1150,1812,Total area actually reporting,,4892,,,2831,60,100,9535,160,557,1927,Includes Monterey County,"Salinas, CA M.S.A.",434790,2015
2638,264.5,416.8,"Rate per 100,000 inhabitants",,1125.1,,,651.1,13.8,,2193,36.8,128.1,443.2,Includes Monterey County,"Salinas, CA M.S.A.",434790,2015
2639,180,262,"City of Salisbury, MD",,1493,,,47,3,33125,1802,23,105,311,"Includes Sussex County, DE and Somerset, Wicomico, and Worcester Counties, MD","Salisbury, MD-DE M.S.A.",393552,2015
2640,1058,2586,Total area actually reporting,,8421,,,291,13,100,11298,153,305,1529,"Includes Sussex County, DE and Somerset, Wicomico, and Worcester Counties, MD","Salisbury, MD-DE M.S.A.",393552,2015
2641,268.8,657.1,"Rate per 100,000 inhabitants",,2139.7,,,73.9,3.3,,2870.8,38.9,77.5,388.5,"Includes Sussex County, DE and Somerset, Wicomico, and Worcester Counties, MD","Salisbury, MD-DE M.S.A.",393552,2015
2642,874,2036,City of Salt Lake City,,13679,,,2199,8,191992,17914,291,469,1642,Includes Salt Lake and Tooele Counties,"Salt Lake City, UT M.S.A.",1172884,2015
2643,2656,,Total area actually reporting,,41921,,,6628,31,99.9,,840,1073,4600,Includes Salt Lake and Tooele Counties,"Salt Lake City, UT M.S.A.",1172884,2015
2644,2656,,Estimated total,,41929,,,6629,31,100,,840,1073,4600,Includes Salt Lake and Tooele Counties,"Salt Lake City, UT M.S.A.",1172884,2015
2645,226.5,,"Rate per 100,000 inhabitants",,3574.9,,,565.2,2.6,,,71.6,91.5,392.2,Includes Salt Lake and Tooele Counties,"Salt Lake City, UT M.S.A.",1172884,2015
2646,265,737,City of San Angelo,,3101,,,251,3,100356,4089,56,30,354,Includes Irion and Tom Green Counties,"San Angelo, TX M.S.A.",119966,2015
2647,280,877,Total area actually reporting,,3340,,,282,4,100,4499,81,30,395,Includes Irion and Tom Green Counties,"San Angelo, TX M.S.A.",119966,2015
2648,233.4,731,"Rate per 100,000 inhabitants",,2784.1,,,235.1,3.3,,3750.2,67.5,25,329.3,Includes Irion and Tom Green Counties,"San Angelo, TX M.S.A.",119966,2015
2649,5465,11632,City of San Antonio,,55803,,,6176,94,1463586,73611,1049,1986,8594,"Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties","San Antonio-New Braunfels, TX M.S.A.",2379984,2015
2650,121,270,City of New Braunfels,,1624,,,164,2,68641,2058,21,31,175,"Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties","San Antonio-New Braunfels, TX M.S.A.",2379984,2015
2651,6621,15640,Total area actually reporting,,70970,,,7432,128,99.9,94042,1405,2241,10395,"Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties","San Antonio-New Braunfels, TX M.S.A.",2379984,2015
2652,6623,15645,Estimated total,,70993,,,7434,128,100,94072,1405,2242,10398,"Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties","San Antonio-New Braunfels, TX M.S.A.",2379984,2015
2653,278.3,657.4,"Rate per 100,000 inhabitants",,2982.9,,,312.4,5.4,,3952.6,59,94.2,436.9,"Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties","San Antonio-New Braunfels, TX M.S.A.",2379984,2015
2654,3601,5129,City of San Diego,,18933,,,5096,37,1400467,29158,566,1378,5582,Includes San Diego County,"San Diego-Carlsbad, CA M.S.A.",3301484,2015
2655,101,366,City of Carlsbad,,1627,,,141,0,113972,2134,33,38,172,Includes San Diego County,"San Diego-Carlsbad, CA M.S.A.",3301484,2015
2656,6969,10744,Total area actually reporting,,42808,,,9906,84,100,63458,1100,2802,10955,Includes San Diego County,"San Diego-Carlsbad, CA M.S.A.",3301484,2015
2657,211.1,325.4,"Rate per 100,000 inhabitants",,1296.6,,,300,2.5,,1922.1,33.3,84.9,331.8,Includes San Diego County,"San Diego-Carlsbad, CA M.S.A.",3301484,2015
2658,2703,5186,City of San Francisco,,40918,,,6915,53,863782,53019,344,3610,6710,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2659,2391,3333,City of Oakland,,14846,,,6389,85,419481,24568,285,3290,6051,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2660,177,729,City of Hayward,,2366,,,1388,10,157157,4483,71,298,556,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2661,155,1090,City of Berkeley,,4099,,,717,1,120387,5906,44,330,530,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2662,168,501,City of San Leandro,,2028,,,903,1,90438,3432,23,220,412,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2663,73,362,City of Redwood City,,1274,,,206,1,84415,1842,28,88,190,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2664,10,146,City of San Ramon,,654,,,95,0,76081,895,4,13,27,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2665,33,232,City of Pleasanton,,1253,,,159,0,79611,1644,13,40,86,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2666,60,342,City of Walnut Creek,,1960,,,238,1,68530,2540,2,28,91,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2667,84,314,City of South San Francisco,,916,,,191,1,67843,1421,28,44,157,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2668,124,267,City of San Rafael,,1268,,,352,0,59598,1887,27,85,236,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2669,9935,24089,Total area actually reporting,,114093,,,29400,249,100,167582,1438,10948,22570,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2670,213.5,517.6,"Rate per 100,000 inhabitants",,2451.3,,,631.7,5.3,,3600.5,30.9,235.2,484.9,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael","San Francisco-Oakland-Hayward, CA M.S.A.",4654400,2015
2671,5949,14446,Total area actually reporting,,58513,,,19834,176,100,92793,814,6617,13556,Includes Alameda and Contra Costa Counties,"Oakland-Hayward-Berkeley, CA M.D.",2760216,2015
2672,215.5,523.4,"Rate per 100,000 inhabitants",,2119.9,,,718.6,6.4,,3361.8,29.5,239.7,491.1,Includes Alameda and Contra Costa Counties,"Oakland-Hayward-Berkeley, CA M.D.",2760216,2015
2673,3679,8556,Total area actually reporting,,52056,,,8891,67,100,69503,567,4183,8496,Includes San Francisco and San Mateo Counties,"San Francisco-Redwood City-South San Francisco, CA M.D.",1631661,2015
2674,225.5,524.4,"Rate per 100,000 inhabitants",,3190.4,,,544.9,4.1,,4259.6,34.7,256.4,520.7,Includes San Francisco and San Mateo Counties,"San Francisco-Redwood City-South San Francisco, CA M.D.",1631661,2015
2675,307,1087,Total area actually reporting,,3524,,,675,6,100,5286,57,148,518,Includes Marin County,"San Rafael, CA M.D.",262523,2015
2676,116.9,414.1,"Rate per 100,000 inhabitants",,1342.4,,,257.1,2.3,,2013.5,21.7,56.4,197.3,Includes Marin County,"San Rafael, CA M.D.",262523,2015
2677,1855,4896,City of San Jose,,13138,,,7001,30,1031458,25035,375,1140,3400,Includes San Benito and Santa Clara Counties,"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",1979743,2015
